ibge_id,uf,name,capital,lon,lat,no_accents,alternative_names,microregion,mesoregion
1100015,RO,Alta Floresta D'Oeste,vazio,-61.9998238963,-11.9355403048,Alta Floresta D'Oeste,vazio,Cacoal,Leste Rondoniense
1100023,RO,Ariquemes,vazio,-63.033269278,-9.9084628666,Ariquemes,vazio,Ariquemes,Leste Rondoniense
1100031,RO,Cabixi,vazio,-60.5443135812,-13.4997634597,Cabixi,vazio,Colorado do Oeste,Leste Rondoniense
1100049,RO,Cacoal,vazio,-61.4429442118,-11.4338650287,Cacoal,vazio,Cacoal,Leste Rondoniense
1100056,RO,Cerejeiras,vazio,-60.8184261647,-13.195033032,Cerejeiras,vazio,Colorado do Oeste,Leste Rondoniense
1100064,RO,Colorado do Oeste,vazio,-60.5550674631,-13.1305638415,Colorado do Oeste,vazio,Colorado do Oeste,Leste Rondoniense
1100072,RO,Corumbiara,vazio,-60.9487011707,-12.9975202365,Corumbiara,vazio,Colorado do Oeste,Leste Rondoniense
1100080,RO,Costa Marques,vazio,-64.2316539391,-12.4360138777,Costa Marques,vazio,Guajar-Mirim,Madeira-Guapor
1100098,RO,Espigo D'Oeste,vazio,-61.0201731133,-11.5285546333,Espigao D'Oeste,vazio,Cacoal,Leste Rondoniense
1100106,RO,Guajar-Mirim,vazio,-65.3239518197,-10.7738837407,Guajara-Mirim,vazio,Guajar-Mirim,Madeira-Guapor
1100114,RO,Jaru,vazio,-62.4762307081,-10.4359487679,Jaru,vazio,Ji-Paran,Leste Rondoniense
1100122,RO,Ji-Paran,vazio,-61.9450945827,-10.8820513183,Ji-Parana,vazio,Ji-Paran,Leste Rondoniense
1100130,RO,Machadinho D'Oeste,vazio,-61.9995925724,-9.42556248,Machadinho D'Oeste,vazio,Ariquemes,Leste Rondoniense
1100148,RO,Nova Brasilndia D'Oeste,vazio,-62.308230163,-11.7213254139,Nova Brasilandia D'Oeste,vazio,Alvorada D'oeste,Leste Rondoniense
1100155,RO,Ouro Preto do Oeste,vazio,-62.2610551904,-10.7235739008,Ouro Preto do Oeste,vazio,Ji-Paran,Leste Rondoniense
1100189,RO,Pimenta Bueno,vazio,-61.1836656736,-11.67753699,Pimenta Bueno,vazio,Vilhena,Leste Rondoniense
1100205,RO,Porto Velho,vazio,-63.8314456544,-8.76889179,Porto Velho,vazio,Porto Velho,Madeira-Guapor
